split,run_id,bucket,start_ts,end_ts,label,event_count,sequence,score,model_label,start_time,end_time
all,verify_checkout_discount_delay_001,356290592,1781452960.0,1781452964.0,0,81,163 164 165 163 164 165 163 169 165 163 164 163 170 165 165 10 2 11 4 5 161 163 164 165 163 169 165 163 170 165 163 172 173 163 165 174 175 165 163 164 165 163 166 165 163 167 171 165 163 164 165 163 164 165 163 164 165 163 166 165 163 167 163 164 163 164 165 163 169 165 163 170 165 165 163 166 165 163 167 171 165,0.3063127100467682,1,2026-06-14 16:02:40+00:00,2026-06-14 16:02:44+00:00
all,verify_checkout_discount_delay_001,356290593,1781452965.0,1781452968.0,0,42,171 165 163 167 171 165 163 165 10 2 12 4 5 161 163 166 165 163 167 171 165 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165 163 164 165 163 170 165,0.3068964183330536,1,2026-06-14 16:02:45+00:00,2026-06-14 16:02:48+00:00
all,verify_checkout_discount_delay_001,356290594,1781452970.0,1781452974.0,0,53,163 164 165 163 170 165 163 166 165 163 167 171 165 163 167 171 165 163 165 163 170 165 163 166 165 163 167 171 165 163 164 165 163 164 165 163 164 165 163 170 165 163 164 165 163 164 165 163 169 165 163 170 165,0.19827069342136383,0,2026-06-14 16:02:50+00:00,2026-06-14 16:02:54+00:00
all,verify_checkout_discount_delay_001,356290595,1781452975.0,1781452979.0,0,87,13 2 14 4 5 161 163 170 165 163 164 165 163 169 165 163 170 165 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165 163 166 165 163 167 163 164 165 171 165 163 165 10 2 15 4 5 161 163 170 165 163 164 165 163 169 165 163 170 165 163 172 173 163 164 174 165 175 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165,0.30731308460235596,1,2026-06-14 16:02:55+00:00,2026-06-14 16:02:59+00:00
all,verify_checkout_discount_delay_001,356290596,1781452980.0,1781452984.0,0,29,163 164 163 164 165 165 163 169 165 163 170 165 163 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165,0.19647784531116486,0,2026-06-14 16:03:00+00:00,2026-06-14 16:03:04+00:00
all,verify_checkout_discount_delay_001,356290597,1781452985.0,1781452989.0,0,74,163 164 165 163 164 163 170 163 170 165 163 164 165 165 165 163 164 165 163 165 163 164 165 163 169 165 163 170 165 10 2 16 4 5 161 163 166 165 163 167 171 165 163 164 165 163 164 165 163 169 165 163 170 165 163 172 173 163 170 174 175 165 163 170 165 165 163 164 165 163 169 165 163 170,0.3007736802101135,1,2026-06-14 16:03:05+00:00,2026-06-14 16:03:09+00:00
all,verify_checkout_discount_delay_001,356290598,1781452990.0,1781452994.0,0,44,165 163 165 163 164 165 163 164 165 163 166 165 163 167 163 164 165 163 169 6 2 17 4 5 161 165 163 170 163 167 171 165 163 164 165 163 172 173 165 174 175 165 171 165,0.3060573935508728,1,2026-06-14 16:03:10+00:00,2026-06-14 16:03:14+00:00
all,verify_checkout_discount_delay_001,356290599,1781452995.0,1781452999.0,0,52,163 166 165 163 167 163 170 171 165 165 163 170 165 163 170 163 164 165 165 163 170 165 163 165 163 170 165 163 164 165 163 164 165 163 166 165 163 167 163 164 165 163 169 165 163 170 165 171 165 163 170 165,0.19701255857944489,0,2026-06-14 16:03:15+00:00,2026-06-14 16:03:19+00:00
all,verify_checkout_discount_delay_001,356290600,1781453001.0,1781453004.0,0,60,163 164 165 163 165 163 170 165 163 164 165 163 169 165 163 170 165 163 166 165 163 167 171 165 163 170 165 6 2 18 4 5 161 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165 163 164 165 163 169 165 163 170 165 163 164 165,0.3005167841911316,1,2026-06-14 16:03:21+00:00,2026-06-14 16:03:24+00:00
all,verify_checkout_discount_delay_001,356290601,1781453005.0,1781453009.0,0,56,163 167 171 165 163 165 163 164 165 163 169 165 163 170 165 163 164 163 170 165 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 10 2 19 4 5 161 165 163 172 173 174 175 165 163 164 163 166 165 165 163 167,0.2940329909324646,1,2026-06-14 16:03:25+00:00,2026-06-14 16:03:29+00:00
all,verify_checkout_discount_delay_001,356290602,1781453010.0,1781453014.0,0,35,171 165 163 164 163 170 165 165 163 164 165 163 167 171 165 163 165 163 164 165 163 164 165 163 170 165 163 164 165 163 164 165 163 164 165,0.214903324842453,1,2026-06-14 16:03:30+00:00,2026-06-14 16:03:34+00:00
all,verify_checkout_discount_delay_001,356290603,1781453016.0,1781453019.0,0,21,163 165 163 164 165 163 164 165 163 166 165 163 167 163 170 165 171 165 163 164 165,0.18747813999652863,0,2026-06-14 16:03:36+00:00,2026-06-14 16:03:39+00:00
all,verify_checkout_discount_delay_001,356290604,1781453020.0,1781453024.0,0,29,163 164 165 163 164 165 163 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165 163 164 165,0.2092801183462143,1,2026-06-14 16:03:40+00:00,2026-06-14 16:03:44+00:00
all,verify_checkout_discount_delay_001,356290605,1781453025.0,1781453029.0,0,39,163 164 165 163 167 163 170 165 171 165 163 165 163 164 165 163 164 165 163 169 165 163 170 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165,0.21481546759605408,1,2026-06-14 16:03:45+00:00,2026-06-14 16:03:49+00:00
all,verify_checkout_discount_delay_001,356290606,1781453030.0,1781453034.0,0,41,163 164 165 163 166 165 163 167 163 166 165 163 167 171 165 171 165 163 170 165 163 164 165 163 169 165 163 170 165 163 165 163 166 165 163 167 171 165 163 164 165,0.21391655504703522,1,2026-06-14 16:03:50+00:00,2026-06-14 16:03:54+00:00
all,verify_checkout_discount_delay_001,356290607,1781453035.0,1781453038.0,0,45,163 164 163 164 165 165 163 164 165 163 164 165 163 164 165 163 170 165 163 164 163 164 165 165 163 165 163 164 165 163 164 165 163 169 165 163 170 165 163 167 171 165 163 164 165,0.2146236002445221,1,2026-06-14 16:03:55+00:00,2026-06-14 16:03:58+00:00
all,verify_checkout_discount_delay_001,356290608,1781453041.0,1781453044.0,0,52,10 2 20 4 5 161 163 164 163 166 165 163 167 165 163 169 165 163 170 165 163 172 173 163 165 174 175 165 171 165 163 164 165 163 164 165 163 164 165 163 167 171 165 163 170 165 163 164 165 163 170 165,0.29947251081466675,1,2026-06-14 16:04:01+00:00,2026-06-14 16:04:04+00:00
all,verify_checkout_discount_delay_001,356290609,1781453045.0,1781453049.0,0,51,163 164 165 163 164 165 163 165 163 164 165 163 170 165 163 164 165 163 170 165 8 2 21 4 5 161 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165 163 166 165 163 167 163 164 165 171 165,0.3072664737701416,1,2026-06-14 16:04:05+00:00,2026-06-14 16:04:09+00:00
all,verify_checkout_discount_delay_001,356290610,1781453050.0,1781453054.0,0,41,163 166 165 163 167 171 165 163 164 165 163 164 165 163 165 163 170 165 163 166 165 163 167 163 164 165 163 169 165 163 170 165 163 167 171 165 171 165 163 170 165,0.20143945515155792,0,2026-06-14 16:04:10+00:00,2026-06-14 16:04:14+00:00
all,verify_checkout_discount_delay_001,356290611,1781453055.0,1781453059.0,0,78,163 164 165 163 169 165 163 170 163 166 165 163 167 165 171 165 163 164 165 163 164 165 163 169 165 163 170 165 163 164 165 163 167 163 165 171 165 163 164 165 163 169 165 163 170 8 2 22 4 5 161 163 164 165 163 172 173 165 174 175 165 163 164 165 163 164 165 163 169 165 163 170 165 163 164 163 164 165,0.2895161509513855,1,2026-06-14 16:04:15+00:00,2026-06-14 16:04:19+00:00
